entry_time,exit_time,direction,instrument,entry_price,exit_price,pct_return_gross,exit_reason,exposure
2000-12-31,2001-01-31,long,SP500_VIX_sized,100.0,105.415,0.05415,monthly_rebalance,1.5
2001-01-31,2001-02-28,long,SP500_VIX_sized,100.0,90.35,-0.0965,monthly_rebalance,1.0
2001-02-28,2001-03-31,long,SP500_VIX_sized,100.0,89.545,-0.10455,monthly_rebalance,1.5
2001-03-31,2001-04-30,long,SP500_VIX_sized,100.0,112.3,0.123,monthly_rebalance,1.5
2001-04-30,2001-05-31,long,SP500_VIX_sized,100.0,101.34,0.0134,monthly_rebalance,1.5
2001-05-31,2001-06-30,long,SP500_VIX_sized,100.0,98.34,-0.0166,monthly_rebalance,1.0
2001-06-30,2001-07-31,long,SP500_VIX_sized,100.0,98.17,-0.0183,monthly_rebalance,1.0
2001-07-31,2001-08-31,long,SP500_VIX_sized,100.0,93.91,-0.0609,monthly_rebalance,1.0
2001-08-31,2001-09-30,long,SP500_VIX_sized,100.0,91.04,-0.0896,monthly_rebalance,1.0
2001-09-30,2001-10-31,long,SP500_VIX_sized,100.0,103.94,0.0394,monthly_rebalance,1.5
2001-10-31,2001-11-30,long,SP500_VIX_sized,100.0,111.465,0.11465,monthly_rebalance,1.5
2001-11-30,2001-12-31,long,SP500_VIX_sized,100.0,101.76,0.0176,monthly_rebalance,1.0
2001-12-31,2002-01-31,long,SP500_VIX_sized,100.0,98.7,-0.013,monthly_rebalance,1.0
2002-01-31,2002-02-28,long,SP500_VIX_sized,100.0,97.85,-0.0215,monthly_rebalance,1.0
2002-02-28,2002-03-31,long,SP500_VIX_sized,100.0,104.37,0.0437,monthly_rebalance,1.0
2002-03-31,2002-04-30,long,SP500_VIX_sized,100.0,94.94,-0.0506,monthly_rebalance,1.0
2002-04-30,2002-05-31,long,SP500_VIX_sized,100.0,98.78,-0.0122,monthly_rebalance,1.0
2002-05-31,2002-06-30,long,SP500_VIX_sized,100.0,92.9,-0.071,monthly_rebalance,1.0
2002-06-30,2002-07-31,long,SP500_VIX_sized,100.0,87.865,-0.12135,monthly_rebalance,1.5
2002-07-31,2002-08-31,long,SP500_VIX_sized,100.0,100.89,0.0089,monthly_rebalance,1.5
2002-08-31,2002-09-30,long,SP500_VIX_sized,100.0,84.63,-0.1537,monthly_rebalance,1.5
2002-09-30,2002-10-31,long,SP500_VIX_sized,100.0,111.9,0.119,monthly_rebalance,1.5
2002-10-31,2002-11-30,long,SP500_VIX_sized,100.0,109.06,0.0906,monthly_rebalance,1.5
2002-11-30,2002-12-31,long,SP500_VIX_sized,100.0,91.47,-0.0853,monthly_rebalance,1.5
2002-12-31,2003-01-31,long,SP500_VIX_sized,100.0,96.245,-0.03755,monthly_rebalance,1.5
2003-01-31,2003-02-28,long,SP500_VIX_sized,100.0,97.27,-0.0273,monthly_rebalance,1.5
2003-02-28,2003-03-31,long,SP500_VIX_sized,100.0,101.735,0.01735,monthly_rebalance,1.5
2003-03-31,2003-04-30,long,SP500_VIX_sized,100.0,112.37,0.1237,monthly_rebalance,1.5
2003-04-30,2003-05-31,long,SP500_VIX_sized,100.0,106.14,0.0614,monthly_rebalance,1.0
2003-05-31,2003-06-30,long,SP500_VIX_sized,100.0,101.52,0.0152,monthly_rebalance,1.0
2003-06-30,2003-07-31,long,SP500_VIX_sized,100.0,102.4,0.024,monthly_rebalance,1.0
2003-07-31,2003-08-31,long,SP500_VIX_sized,100.0,102.4,0.024,monthly_rebalance,1.0
2003-08-31,2003-09-30,long,SP500_VIX_sized,100.0,98.84,-0.0116,monthly_rebalance,1.0
2003-09-30,2003-10-31,long,SP500_VIX_sized,100.0,106.15,0.0615,monthly_rebalance,1.0
2003-10-31,2003-11-30,long,SP500_VIX_sized,100.0,101.42,0.0142,monthly_rebalance,1.0
2003-11-30,2003-12-31,long,SP500_VIX_sized,100.0,104.37,0.0437,monthly_rebalance,1.0
2003-12-31,2004-01-31,long,SP500_VIX_sized,100.0,102.22,0.0222,monthly_rebalance,1.0
2004-01-31,2004-02-29,long,SP500_VIX_sized,100.0,101.46,0.0146,monthly_rebalance,1.0
2004-02-29,2004-03-31,long,SP500_VIX_sized,100.0,99.43,-0.0057,monthly_rebalance,0.5
2004-03-31,2004-04-30,long,SP500_VIX_sized,100.0,98.26,-0.0174,monthly_rebalance,1.0
2004-04-30,2004-05-31,long,SP500_VIX_sized,100.0,101.24,0.0124,monthly_rebalance,1.0
2004-05-31,2004-06-30,long,SP500_VIX_sized,100.0,101.94,0.0194,monthly_rebalance,1.0
2004-06-30,2004-07-31,long,SP500_VIX_sized,100.0,98.08,-0.0192,monthly_rebalance,0.5
2004-07-31,2004-08-31,long,SP500_VIX_sized,100.0,100.19,0.0019,monthly_rebalance,1.0
2004-08-31,2004-09-30,long,SP500_VIX_sized,100.0,101.71,0.0171,monthly_rebalance,1.0
2004-09-30,2004-10-31,long,SP500_VIX_sized,100.0,100.82,0.0082,monthly_rebalance,0.5
2004-10-31,2004-11-30,long,SP500_VIX_sized,100.0,104.68,0.0468,monthly_rebalance,1.0
2004-11-30,2004-12-31,long,SP500_VIX_sized,100.0,101.865,0.01865,monthly_rebalance,0.5
2004-12-31,2005-01-31,long,SP500_VIX_sized,100.0,98.785,-0.01215,monthly_rebalance,0.5
2005-01-31,2005-02-28,long,SP500_VIX_sized,100.0,101.1,0.011,monthly_rebalance,0.5
2005-02-28,2005-03-31,long,SP500_VIX_sized,100.0,99.245,-0.00755,monthly_rebalance,0.5
2005-03-31,2005-04-30,long,SP500_VIX_sized,100.0,98.91,-0.0109,monthly_rebalance,0.5
2005-04-30,2005-05-31,long,SP500_VIX_sized,100.0,103.89,0.0389,monthly_rebalance,1.0
2005-05-31,2005-06-30,long,SP500_VIX_sized,100.0,100.52,0.0052,monthly_rebalance,0.5
2005-06-30,2005-07-31,long,SP500_VIX_sized,100.0,102.2,0.022,monthly_rebalance,0.5
2005-07-31,2005-08-31,long,SP500_VIX_sized,100.0,99.7,-0.003,monthly_rebalance,0.5
2005-08-31,2005-09-30,long,SP500_VIX_sized,100.0,100.53,0.0053,monthly_rebalance,0.5
2005-09-30,2005-10-31,long,SP500_VIX_sized,100.0,99.25,-0.0075,monthly_rebalance,0.5
2005-10-31,2005-11-30,long,SP500_VIX_sized,100.0,103.92,0.0392,monthly_rebalance,1.0
2005-11-30,2005-12-31,long,SP500_VIX_sized,100.0,100.2,0.002,monthly_rebalance,0.5
2005-12-31,2006-01-31,long,SP500_VIX_sized,100.0,101.865,0.01865,monthly_rebalance,0.5
2006-01-31,2006-02-28,long,SP500_VIX_sized,100.0,100.19,0.0019,monthly_rebalance,0.5
2006-02-28,2006-03-31,long,SP500_VIX_sized,100.0,101.105,0.01105,monthly_rebalance,0.5
2006-03-31,2006-04-30,long,SP500_VIX_sized,100.0,100.725,0.00725,monthly_rebalance,0.5
2006-04-30,2006-05-31,long,SP500_VIX_sized,100.0,98.65,-0.0135,monthly_rebalance,0.5
2006-05-31,2006-06-30,long,SP500_VIX_sized,100.0,100.06,0.0006,monthly_rebalance,1.0
