,equity_curve
2025-05-13,1.6376429343824133
2025-05-14,1.635654301465502
2025-05-15,1.633720626459846
2025-05-16,1.6318760646655281
2025-05-19,1.6528523467218577
2025-05-20,1.6510795320412337
2025-05-21,1.6492856727444403
2025-05-22,1.6475366502959652
2025-05-23,1.6457932739662575
2025-05-27,1.6440509045797411
2025-05-28,1.6423890431086892
2025-05-29,1.6574536849948773
2025-05-30,1.655785235018287
2025-06-02,1.6541492219328324
2025-06-03,1.6525641363554768
2025-06-04,1.6510575378672074
2025-06-05,1.6495394062354398
2025-06-06,1.6480432506193343
2025-06-09,1.6466106894175028
2025-06-10,1.6452101375827275
2025-06-11,1.6438382810428955
2025-06-12,1.642508634693258
2025-06-13,1.6411751604131393
2025-06-16,1.639842134362323
2025-06-17,1.6385285501645173
2025-06-18,1.6372370059610701
2025-06-20,1.635944440521881
2025-06-23,1.6346263981529208
2025-06-24,1.6333251813410778
2025-06-25,1.6320795284493463
2025-06-26,1.6308580129485615
2025-06-27,1.6296681927788395
2025-06-30,1.6285131541893116
2025-07-01,1.6285131541893116
2025-07-02,1.6411317804429661
2025-07-03,1.6400063374790383
2025-07-07,1.638886715213652
2025-07-08,1.6378084534573203
2025-07-09,1.6367496318944788
2025-07-10,1.6357122924208252
2025-07-11,1.634698806159977
2025-07-14,1.6336949976785593
2025-07-15,1.63271654791797
2025-07-16,1.6317291841503485
2025-07-17,1.6307545188858434
2025-07-18,1.635424472133108
2025-07-21,1.6382673164192332
2025-07-22,1.637334040066109
2025-07-23,1.6364136751969245
2025-07-24,1.6355267721691809
