,predicted_vol,exposure_symmetric,exposure_asymmetric_cap,exposure_binary_defensive,exposure_three_state,exposure
2019-02-11,0.10278673377418653,1.4593322940831732,1.0,0.85,0.85,0.85
2019-02-12,0.10012913247665642,1.498065510903834,1.0,0.85,0.85,0.85
2019-02-13,0.11575435305751627,1.2958475948240813,1.0,0.85,0.85,0.85
2019-02-14,0.10702688831750262,1.401516967913845,1.0,0.85,0.85,0.85
2019-02-15,0.10113872233638885,1.4831114783227914,1.0,0.85,0.85,0.85
2019-02-19,0.11070631459129177,1.3549362613485383,1.0,0.85,0.85,0.85
2019-02-20,0.10258134738241051,1.4622541410069283,1.0,0.85,0.85,0.85
2019-02-21,0.09874295359701289,1.5,1.0,0.85,0.85,0.85
2019-02-22,0.0985099290026235,1.5,1.0,0.85,0.85,0.85
2019-02-25,0.10065435197690084,1.490248529287869,1.0,0.85,0.85,0.85
2019-02-26,0.09358670438196029,1.5,1.0,0.85,0.85,0.85
2019-02-27,0.09301295250749743,1.5,1.0,0.85,0.85,0.85
2019-02-28,0.09132938728209639,1.5,1.0,0.85,0.85,0.85
2019-03-01,0.09186760655733195,1.5,1.0,0.85,0.85,0.85
2019-03-04,0.09329948713320602,1.5,1.0,0.85,0.85,0.85
2019-03-05,0.09169870047128521,1.5,1.0,0.85,0.85,0.85
2019-03-06,0.08967588285805006,1.5,1.0,0.85,0.85,0.85
2019-03-07,0.09580071409793323,1.5,1.0,0.85,0.85,0.85
2019-03-08,0.10152896579586812,1.4774108927848892,1.0,0.85,0.85,0.85
2019-03-11,0.09158104008571832,1.5,1.0,0.85,0.85,0.85
2019-03-12,0.1152413417915772,1.3016162226858352,1.0,0.85,0.85,0.85
2019-03-13,0.10565990945150174,1.4196491439248347,1.0,0.85,0.85,0.85
2019-03-14,0.10828849660578119,1.3851886830238989,1.0,0.85,0.85,0.85
2019-03-15,0.09656765929849884,1.5,1.0,0.85,0.85,0.85
2019-03-18,0.09871961963505876,1.5,1.0,0.85,0.85,0.85
2019-03-19,0.09251233716165858,1.5,1.0,0.85,0.85,0.85
2019-03-20,0.08792451923379174,1.5,1.0,0.85,1.0,0.85
2019-03-21,0.09200580298476578,1.5,1.0,0.85,0.85,0.85
2019-03-22,0.10452817004250381,1.4350198605697027,1.0,0.85,0.85,0.85
2019-03-25,0.12848975021426112,1.1674082932675158,1.0,0.85,0.85,0.85
2019-03-26,0.11176798274245502,1.3420659147588119,1.0,0.85,0.85,0.85
2019-03-27,0.11967633288269876,1.2533806508511847,1.0,0.85,0.85,0.85
2019-03-28,0.11867333720937513,1.2639738927654431,1.0,0.85,0.85,0.85
2019-03-29,0.11522366911844759,1.3018158608176507,1.0,0.85,0.85,0.85
2019-04-01,0.10898476687625613,1.3763391371044866,1.0,0.85,0.85,0.85
2019-04-02,0.11715144119304442,1.2803939795569999,1.0,0.85,0.85,0.85
2019-04-03,0.10705904027519861,1.4010960645118835,1.0,0.85,0.85,0.85
2019-04-04,0.1041173854217673,1.4406815863879756,1.0,0.85,0.85,0.85
2019-04-05,0.10405832863904198,1.4414992241545672,1.0,0.85,0.85,0.85
2019-04-08,0.1065154130266634,1.4082468981503302,1.0,0.85,0.85,0.85
2019-04-09,0.09914082207606251,1.5,1.0,0.85,0.85,0.85
2019-04-10,0.10314218881716262,1.4543030521283677,1.0,0.85,0.85,0.85
2019-04-11,0.10178836771222498,1.4736457944200307,1.0,0.85,0.85,0.85
2019-04-12,0.09842043759916251,1.5,1.0,0.85,0.85,0.85
2019-04-15,0.10528249012900306,1.4247383379344882,1.0,0.85,0.85,0.85
2019-04-16,0.09988081529891472,1.5,1.0,0.85,0.85,0.85
2019-04-17,0.09804305021254028,1.5,1.0,0.85,0.85,0.85
2019-04-18,0.10043342944526544,1.493526615873926,1.0,0.85,0.85,0.85
2019-04-22,0.09929338753389179,1.5,1.0,0.85,0.85,0.85
2019-04-23,0.09406469888249078,1.5,1.0,0.85,0.85,0.85
2019-04-24,0.09388128025490608,1.5,1.0,0.85,0.85,0.85
2019-04-25,0.08893172326008159,1.5,1.0,0.85,1.0,0.85
2019-04-26,0.08586711712322032,1.5,1.0,0.85,1.0,0.85
