entry_time,exit_time,position,entry_price,exit_price,exit_reason,risk,shares,gross_pnl,fees,net_pnl,equity_before,equity
2021-05-11,2021-05-12,vixshort,100,96.2045719637714,rebalance,3.7954,1,-6145.86,2.78,-6145.86,161927.92,155782.07
2021-05-12,2021-05-13,vixshort,100,102.51872177865687,rebalance,2.5187,1,3923.72,6.88,3923.72,155782.07,159705.78
2021-05-13,2021-05-14,vixshort,100,102.81161666257302,rebalance,2.8116,1,4490.31,4.98,4490.31,159705.78,164196.1
2021-05-14,2021-05-18,vixshort,100,99.19520570769168,rebalance,0.8048,1,-1321.44,5.27,-1321.44,164196.1,162874.66
2021-05-18,2021-05-24,vixshort,100,101.2806847896008,rebalance,1.2807,1,2085.91,2.6,2085.91,162874.66,164960.57
2021-05-24,2021-05-25,vixshort,100,99.98013824529627,rebalance,0.0199,1,-32.76,10.84,-32.76,164960.57,164927.8
2021-05-25,2021-05-26,vixshort,100,100.93498721151313,rebalance,0.935,1,1542.05,7.96,1542.05,164927.8,166469.86
2021-05-26,2021-06-07,vixshort,100,101.44275891709327,rebalance,1.4428,1,2401.76,1.86,2401.76,166469.86,168871.62
2021-06-07,2021-06-18,vixshort,100,98.82033185493694,rebalance,1.1797,1,-1992.12,1.79,-1992.12,168871.62,166879.49
2021-06-18,2021-06-21,vixshort,100,101.51096897237042,rebalance,1.511,1,2521.5,4.4,2521.5,166879.49,169400.99
2021-06-21,2021-06-23,vixshort,100,101.10568851710707,rebalance,1.1057,1,1873.05,3.38,1873.05,169400.99,171274.04
2021-06-23,2021-07-08,vixshort,100,99.00215348569998,rebalance,0.9978,1,-1709.05,2.11,-1709.05,171274.04,169564.98
2021-07-08,2021-07-09,vixshort,100,101.50879828464132,rebalance,1.5088,1,2558.39,2.99,2558.39,169564.98,172123.38
2021-07-09,2021-07-16,vixshort,100,99.31403481178715,rebalance,0.686,1,-1180.71,3.46,-1180.71,172123.38,170942.67
2021-07-16,2021-07-19,vixshort,100,97.3713442158639,rebalance,2.6287,1,-4493.49,2.43,-4493.49,170942.67,166449.18
2021-07-19,2021-07-20,vixshort,100,101.83644851792857,rebalance,1.8364,1,3056.75,5.2,3056.75,166449.18,169505.93
2021-07-20,2021-07-21,vixshort,100,101.27666570340097,rebalance,1.2767,1,2164.02,3.53,2164.02,169505.93,171669.95
2021-07-21,2021-08-02,vixshort,100,99.07289315519428,rebalance,0.9271,1,-1591.56,2.43,-1591.56,171669.95,170078.39
2021-08-02,2021-08-03,vixshort,100,100.94215835540878,rebalance,0.9422,1,1602.41,1.97,1602.41,170078.39,171680.8
2021-08-03,2021-08-06,vixshort,100,100.93755927871813,rebalance,0.9376,1,1609.61,1.86,1609.61,171680.8,173290.41
2021-08-06,2021-08-18,vixshort,100,99.40888759283072,rebalance,0.5911,1,-1024.34,2.3,-1024.34,173290.41,172266.07
2021-08-18,2021-08-20,vixshort,100,100.86931368665641,rebalance,0.8693,1,1497.53,5.1,1497.53,172266.07,173763.6
2021-08-20,2021-08-25,vixshort,100,101.12651070910776,rebalance,1.1265,1,1957.47,3.2,1957.47,173763.6,175721.06
2021-08-25,2021-08-26,vixshort,100,99.24827006060794,rebalance,0.7517,1,-1320.95,2.35,-1320.95,175721.06,174400.12
