date,ret
2023-01-30,263836.6308523191
2023-01-31,268454.49964251334
2023-02-01,268454.49964251334
2023-02-02,268454.49964251334
2023-02-03,264953.38144808693
2023-02-06,260041.97055761065
2023-02-07,260041.97055761065
2023-02-08,261911.1762006479
2023-02-09,261911.1762006479
2023-02-10,263123.50991721073
2023-02-13,263123.50991721073
2023-02-14,263123.50991721073
2023-02-15,264092.0631321117
2023-02-16,264092.0631321117
2023-02-17,264092.0631321117
2023-02-21,264092.0631321117
2023-02-22,264039.2447194852
2023-02-23,269701.5720376298
2023-02-24,263882.3138087796
2023-02-27,263596.93944931554
2023-02-28,264009.93903571775
2023-03-01,264311.67143336596
2023-03-02,264311.67143336596
2023-03-03,264974.1316198732
2023-03-06,264974.1316198732
2023-03-07,264974.1316198732
2023-03-08,270125.9858075111
2023-03-09,270125.9858075111
2023-03-10,265193.0331133857
2023-03-13,260708.132616431
2023-03-14,260708.132616431
2023-03-15,254445.81101003848
2023-03-16,254445.81101003848
2023-03-17,254445.81101003848
2023-03-20,254630.41079833166
2023-03-21,256240.63371485635
2023-03-22,254759.87019779338
2023-03-23,256377.13065722867
2023-03-24,256078.02813524686
2023-03-27,256078.02813524686
2023-03-28,256078.02813524686
2023-03-29,256078.02813524686
2023-03-30,256078.02813524686
2023-03-31,257269.3614089704
2023-04-03,254121.04050234082
2023-04-04,254121.04050234082
2023-04-05,254297.31284518077
2023-04-06,254246.45338261174
2023-04-10,255799.6826621725
2023-04-11,255799.6826621725
2023-04-12,255799.6826621725
2023-04-13,255799.6826621725
2023-04-14,255799.6826621725
2023-04-17,255799.6826621725
2023-04-18,251579.6185786176
2023-04-19,251579.6185786176
2023-04-20,251971.64044580935
2023-04-21,251971.64044580935
2023-04-24,252920.6929066194
2023-04-25,252920.6929066194
2023-04-26,253429.17307596607
2023-04-27,256196.87217324553
2023-04-28,256196.87217324553
2023-05-01,256196.87217324553
2023-05-02,255030.27854468275
2023-05-03,255890.5017111075
2023-05-04,255890.5017111075
2023-05-05,258999.85914138326
2023-05-08,258999.85914138326
